"Project ID","Compliance Program ID (ARB or Ecology)","Project Developer","Project Name","Project Type","Project Methodology/Protocol","Initial Crediting Period Start Date","Current Crediting Period Start Date","Current Crediting Period End Date","Voluntary Status","Compliance Program Status (ARB or Ecology)","Project Status Date","Project Site Location","Project Site State","Project Site Country","Sustainable Development Goal(s)","Current VVB","ACR Project Validation","Total Number of Credits Registered ","Documents","Project Website",
"ACR1216","N/A","A-Gas US Inc.","A-Gas South Korea 7","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","09/11/2025","09/11/2025","09/10/2035","Completed","Not ARB or Ecology Eligible","04/11/2026","Bowling Green","OHIO","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","First Environment, Inc.","First Environment, Inc.","30791","View","www.agasamericas.com",
"ACR1224","N/A","A-Gas US Inc.","A-Gas South Korea 8","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","10/21/2025","10/21/2025","10/20/2035","Completed","Not ARB or Ecology Eligible","04/11/2026","Bowling Green","OHIO","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","First Environment, Inc.","First Environment, Inc.","27431","View","www.agasamericas.com",
"ACR1226","N/A","A-Gas US Inc.","A-Gas Taiwan 1","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","12/22/2025","12/22/2025","12/21/2035","Listed","Not ARB or Ecology Eligible","12/26/2025","Bowling Green","OHIO","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","","","View","",
"ACR573","N/A","A-Gas US Inc.","A-Gas V1","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","12/11/2018","12/11/2018","12/10/2028","Completed","Not ARB or Ecology Eligible","07/26/2022","Wood County, Bowling Green, Ohio","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc.","","83702","View","www.agasamericas.com",
"ACR775","N/A","A-Gas US Inc.","A-Gas V10","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/07/2021","01/07/2021","01/06/2061","Completed","Not ARB or Ecology Eligible","02/23/2023","Bowling Green","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","343908","View","",
"ACR827","N/A","A-Gas US Inc.","A-Gas V11","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/10/2022","01/10/2022","01/09/2062","Completed","Not ARB or Ecology Eligible","09/05/2023","Bowling Green","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","937572","View","https://www.agas.com/",
"ACR869","N/A","A-Gas US Inc.","A-Gas V12","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/07/2022","01/07/2022","01/06/2037","Completed","Not ARB or Ecology Eligible","11/21/2023","Rhome","TEXAS","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.","SES, Inc.","1855393","View","",
"ACR935","N/A","A-Gas US Inc.","A-Gas V13","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/03/2023","01/03/2023","01/02/2063","Completed","Not ARB or Ecology Eligible","04/11/2024","Bowling Green","OHIO; TEXAS","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.","SES, Inc.","867204","View","",
"ACR905","N/A","A-Gas US Inc.","A-Gas V14","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/06/2023","01/06/2023","01/05/2038","Completed","Not ARB or Ecology Eligible","12/27/2023","Rhome","TEXAS","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc.","TÜV SÜD America, Inc.","2220554","View","",
"ACR1021","N/A","A-Gas US Inc.","A-Gas V15","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","10/04/2023","10/04/2023","10/03/2063","Completed","Not ARB or Ecology Eligible","09/11/2024","Bowling Green","OHIO; TEXAS","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.","SES, Inc.","454639","View","",
"ACR973","N/A","A-Gas US Inc.","A-Gas V16","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","07/03/2023","07/03/2023","07/02/2038","Completed","Not ARB or Ecology Eligible","05/28/2024","Rhome","TEXAS","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc.","TÜV SÜD America, Inc.","1538940","View","",
"ACR1102","N/A","A-Gas US Inc.","A-Gas V17","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","04/03/2024","04/03/2024","04/02/2064","Completed","Not ARB or Ecology Eligible","05/15/2025","Bowling Green","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.","SES, Inc.","518943","View","",
"ACR1066","N/A","A-Gas US Inc.","A-Gas V18","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/08/2024","01/08/2024","01/07/2039","Completed","Not ARB or Ecology Eligible","05/15/2025","Rhome","TEXAS","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc.","TÜV SÜD America, Inc.","1785534","View","",
"ACR1169","N/A","A-Gas US Inc.","A-Gas V19","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","10/03/2024","10/03/2024","10/02/2064","Completed","Not ARB or Ecology Eligible","11/12/2025","Bowling Green","OHIO; TEXAS","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.","SES, Inc.","284077","View","www.agasamericas.com",
"ACR583","N/A","A-Gas US Inc.","A-Gas V2","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","12/05/2019","12/05/2019","12/04/2029","Completed","Not ARB or Ecology Eligible","07/28/2022","Wood County, Bowling Green, Ohio","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc.","","23045","View","www.agasamericas.com",
"ACR1125","N/A","A-Gas US Inc.","A-Gas V20","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","07/03/2024","07/03/2024","07/02/2039","Completed","Not ARB or Ecology Eligible","05/15/2025","Rhome","TEXAS; OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc.","TÜV SÜD America, Inc.","2538235","View","",
"ACR1236","N/A","A-Gas US Inc.","A-Gas V21","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","04/04/2025","04/04/2025","04/03/2040","Listed","Not ARB or Ecology Eligible","02/24/2026","Rhome","TEXAS; OHIO","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","","","View","www.agas.com",
"ACR1200","N/A","A-Gas US Inc.","A-Gas V22","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/08/2025","01/08/2025","01/07/2040","Completed","Not ARB or Ecology Eligible","01/01/2026","Rhome","TEXAS; OHIO","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc.","TÜV SÜD America, Inc.","1690094","View","www.agas.com",
